OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-01304678,"FORT POND AT MONTAUK, NY","Lake, Reservoir, Impoundment",,02030202,1.00,sq mi,,,41.03649090000000,-71.9464587000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304693,HOOK POND TRIBUTARY AT EAST HAMPTON NY,Stream,,02030202,,,,,40.95954478000000,-72.1778563000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304695,"HOOK POND AT EAST HAMPTON, NY","Lake, Reservoir, Impoundment",,02030202,4.06,sq mi,,,40.95510036000000,-72.1778563000000,24000,1,minutes,Interpolated from MAP.,NAD83,5,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0130469525,"Hook Pond (QW Site 10) at East Hampton, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.95308330000000,-72.1843888900000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0130469550,"Hook Pond (QW Site 3) at East Hampton, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.94894444000000,-72.1892777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0130469575,"Hook Pond (QW Site 7) at East Hampton, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.94547220000000,-72.1900000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304738,"MILL POND AT WATER MILL, NY","Lake, Reservoir, Impoundment",,02030202,4.02,sq mi,,,40.90982240000000,-72.3625842000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304990,CARMANS RIVER AT MIDDLE ISLAND NY,Stream,,02030202,,,,,40.86315417000000,-72.9426045000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304995,CARMANS RIVER NEAR YAPHANK NY,Stream,,02030202,,,,,40.84148748000000,-72.9364935000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304998,CARMANS RIVER BELOW LOWER LAKE AT YAPHANK NY,Stream,,02030202,,,,,40.83537638000000,-72.9164931000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01305000,CARMANS RIVER AT YAPHANK NY,Stream,,02030202,73.1,sq mi,,,40.83016667000000,-72.9061388900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,17.95,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01305040,CARMANS RIVER AT SOUTHHAVEN NY,Stream,,02030202,,,,,40.80259865000000,-72.8853816000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309400,CARMAN CREEK AT AMITYVILLE NY,Stream,,02030202,,,,,40.66926739000000,-73.4334569000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309500,MASSAPEQUA CREEK AT MASSAPEQUA NY,Stream,,02030202,38.6,sq mi,,,40.68900000000000,-73.4553888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,18.31,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309580,"MASSAPEQUA CREEK AT MASSAPEQUA, NY 309580",Stream,,02030202,,,,,40.67621190000000,-73.4637355000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309950,BELLMORE CREEK NEAR BELLMORE NY,Stream,,02030202,,,,,40.67866667000000,-73.5158611000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01310500,EAST MEADOW BROOK AT FREEPORT NY,Stream,,02030202,28.7,sq mi,,,40.66563889000000,-73.5700833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,10.45,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311000,PINES BROOK AT MALVERNE NY,Stream,,02030202,10.1,sq mi,,,40.66638889000000,-73.6591667000000,24000,1,seconds,Interpolated from MAP.,NAD83,7.11,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311810,CONSELYEAS POND TRIBUTARY AT ROSEDALE NY,Stream,,02030202,12.9,sq mi,,,40.66205556000000,-73.7433056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,081,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311826,"SPRING CREEK AT HOWARD BEACH, NY",Stream,,02030202,,,,,40.65843700000000,-73.8606910000000,24000,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,36,081,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311828,"FRESH CREEK AT STARRETT CITY, NY",Stream,,02030202,,,,,40.64732608000000,-73.8890250900000,24000,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,36,047,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311830,HUDSON RIVER AT TAHAWUS NY,Stream,,02020001,28.7,sq mi,,,44.04367040000000,-74.0579254000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131184703,HENDERSON L OUTLET ABV CALAMITY BK NR TAHAWUS NY,Stream,,02020001,17.3,sq mi,,,44.09116796000000,-74.0562598000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131185005,CALAMITY BROOK AT MOUTH NEAR TAHAWUS NY,Stream,,02020001,5.18,sq mi,,,44.09116794000000,-74.0557043000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131185008,HUDSON R (PROPER) BLW CALAMITY BK NR TAHAWUS NY,Stream,,02020001,22.5,sq mi,,,44.09089019000000,-74.0562598000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311888,AVALANCHE LAKE AT DAM NEAR MT MARCY,Stream,,02020001,0.46,sq mi,,,44.13055830000000,-73.9698277800000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2864,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311893,LAKE COLDEN AT DAM NEAR MT MARCY,Stream,,02020001,2.56,sq mi,,,44.11937778000000,-73.9826083000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2773,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311940,HUDSON RIVER NEAR TAHAWUS NY,Stream,,02020001,63.1,sq mi,,,44.01617170000000,-74.0537577900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311951,HUDSON RIVER NEAR WINEBROOK HILLS NY,Stream,,02020001,86.2,sq mi,,,43.95841667000000,-74.0937500000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311985,FISHING BROOK NR WINDFALL MTN NR LONG LAKE NY,Stream,,02020001,7.05,sq mi,,,43.96383330000000,-74.3265277800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311989,FISHING BROOK NEAR LONG LAKE NY,Stream,,02020001,9.70,sq mi,,,43.97297220000000,-74.3284167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311990,FISHING BROOK AT 28N NEAR LONG LAKE NY,Stream,,02020001,10.1,sq mi,,,43.97805556000000,-74.3366667000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199010,SIXMILE BROOK AT 28N NEAR LONG LAKE NY,Stream,,02020001,1.65,sq mi,,,43.97566667000000,-74.3613056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199020,SIXMILE BROOK TRIBUTARY NEAR LONG LAKE NY,Stream,,02020001,2.62,sq mi,,,43.99127778000000,-74.3511944000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199021,SIXMILE BROOK BLW SIXMILE BK TRIB NR LONG LAKE NY,Stream,,02020001,6.44,sq mi,,,43.98777778000000,-74.3455556000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199022,SIXMILE BROOK NEAR LONG LAKE NY,Stream,,02020001,6.62,sq mi,,,43.98819444000000,-74.3410000000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199029,PICKWACKET POND INLET NEAR LONG LAKE NY,Stream,,02020001,0.45,sq mi,,,44.00825000000000,-74.3117222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199035,PICKWACKET POND OUTLET AT MOUTH NR LONG LAKE NY,Stream,,02020001,3.26,sq mi,,,43.99284085000000,-74.3090471000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199040,FISHING BR ABOVE CNTY LINE FLOW NR LONG LAKE NY,Stream,,02020001,22.6,sq mi,,,43.98758330000000,-74.2913333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199045,UNNAMED TRIB TO COUNTY LINE FLOW NR LONG LAKE NY,Stream,,02020001,0.40,sq mi,,,43.97900000000000,-74.2858888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199050,FISHING BROOK (COUNTY LINE FLOW OUTLET) NR NEWCOMB,Stream,,02020001,25.2,sq mi,,,43.97738889000000,-74.2704167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311992,ARBUTUS POND OUTLET NEAR NEWCOMB NY,Stream,,02020001,1.35,sq mi,,,43.98222220000000,-74.2355556000000,24000,1,seconds,Interpolated from MAP.,NAD83,1682.59,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199405,FLAT BROOK AT MOUTH NEAR NEWCOMB NY,Stream,,02020001,3.47,sq mi,,,43.97395257000000,-74.2301542000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131199710,FISHING BROOK (RICH LAKE AT DAM) AT NEWCOMB NY,Stream,,02020001,64.9,sq mi,,,43.97311870000000,-74.1809850000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311998,WOODRUFF POND OUTLET AT NEWCOMB NY,Stream,,02020001,3.31,sq mi,,,43.96950740000000,-74.1637618000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01312000,HUDSON RIVER NEAR NEWCOMB NY,Stream,,02020001,192,sq mi,,,43.96602778000000,-74.1313888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1550.04,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01312005,HUDSON RIVER TRIBUTARY NO 9 AT NEWCOMB NY,Stream,,02020001,1.30,sq mi,,,43.95728490000000,-74.1243150000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01312568,CARRY POND NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.68202778000000,-74.4885556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2140,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313048,LONG POND OUTLET NEAR INDIAN LAKE NY,Stream,,02020001,,,,,43.83788889000000,-74.4790277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1878,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131443005,LAWRENCE BROOK AT MOUTH,Stream,,02020001,,,,,43.71728720000000,-74.3140384000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315088,NATE POND OUTLET NEAR MINERVA NY,Stream,,02020001,,,,,43.85888889000000,-74.0937777800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2010,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315170,DURGIN BROOK AT BOREAS RIVER NY,Stream,,02020001,6.86,sq mi,,,43.93983330000000,-73.9536111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1740,feet,10,feet,Differentially corrected Global Positioning System.,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315226,VANDERWHACKER BROOK TRIB 1 NEAR BOREAS RIVER NY,Stream,,02020001,0.09,sq mi,,,43.94850000000000,-73.9883611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315227,VANDERWHACKER BROOK TRIB 2 NEAR BOREAS RIVER NY,Stream,,02020001,0.35,sq mi,,,43.94819444000000,-73.9901111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1910,feet,10,feet,Differentially corrected Global Positioning System.,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315500,HUDSON RIVER AT NORTH CREEK NY,Stream,,02020001,792,sq mi,,,43.70086110000000,-73.9831944000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,987.26,feet,.09,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316154,CLEAR POND OUTLET NEAR NORTH HUDSON NY,Stream,,02020001,2.19,sq mi,,,43.99567778000000,-73.8308194000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1911,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01318800,FLY CREEK NEAR SPECULATOR NY,Stream,,02020002,,,,,43.51284420000000,-74.2915291000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01318810,ROBBS CREEK NEAR SPECULATOR NY,Stream,,02020002,,,,,43.50895530000000,-74.2862508800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01319817,JOCKEYBUSH LAKE AT DAM AT ARIETTA NY,"Lake, Reservoir, Impoundment",,02020002,,,,,43.30202778000000,-74.5858083000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1965,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01321000,SACANDAGA RIVER NEAR HOPE NY,Stream,,02020002,491,sq mi,,,43.35347220000000,-74.2684722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,880.74,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01321005,WILLIS LAKE AT DAM NEAR WELLS NY,"Lake, Reservoir, Impoundment",,02020002,,,,,43.37028889000000,-74.2462388900000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1312,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01335827,MOHAWK RIVER AT NORTH WESTERN NY,Stream,,02020004,,,,,43.33979165000000,-75.3654499000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01336000,MOHAWK RIVER BELOW DELTA DAM NEAR ROME NY,Stream,,02020004,152,sq mi,,,43.26444444000000,-75.4363888900000,24000,1,seconds,Interpolated from MAP.,NAD83,472.34,feet,.01,feet,Level or other surveyed method.,NAVD88,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01336510,MOHAWK RIVER AT FLOYD AVENUE AT ROME NY,Stream,,02020004,157,sq mi,,,43.21819444000000,-75.4314722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01336523,MOHAWK RIVER AT SH 69 AT ROME NY,Stream,,02020004,,,,,43.20090280000000,-75.4482300000000,24000,1,seconds,Interpolated from MAP.,NAD83,420,feet,10,feet,Interpolated from topographic map.,NGVD29,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01337020,NINEMILE CREEK NEAR ORISKANY NY,Stream,,02020004,68.5,sq mi,,,43.18256960000000,-75.3312805000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01338505,ORISKANY CREEK AT UTICA STREET BR ORISKANY NY,Stream,,02020004,140,sq mi,,,43.15562520000000,-75.3307246000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01339060,SAUQUOIT CREEK AT WHITESBORO NY,Stream,,02020004,59.8,sq mi,,,43.11144444000000,-75.2940000000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,419.98,feet,.01,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01339480,NAIL CREEK NEAR MOUTH NEAR HAAK AVE AT UTICA NY,Stream,,02020004,4.73,sq mi,,,43.10869444000000,-75.2420556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01341140,REALL CREEK AT MOUTH AT UTICA NY,Stream,,02020004,8.91,sq mi,,,43.11194444000000,-75.2141667000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01341610,BALLOU CREEK AT MOUTH NEAR UTICA NY,Stream,,02020004,4.65,sq mi,,,43.10118086000000,-75.2004408000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01342602,MOHAWK RIVER NEAR UTICA NY,Stream,,02020004,553,sq mi,,,43.09369444000000,-75.1579167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,386.02,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,043,,,,,,,,,,NWIS
