Flow,Monitoring Set,Monitoring Location,Date,Analyte,Value,Unit,Test Location,Remarks
Base Flow,Keuka Lake,Eggleston Pt,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Keuka Lake,South Deep,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.25,mg/L,Lab,
Base Flow,Keuka Lake,Willow Grove,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.005,mg/L,Lab,non-detect
Base Flow,Keuka Lake,H\port Beach,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.05,mg/L,Lab,
Base Flow,Keuka Lake,"Stone Pt, Pulteney","Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Keuka Lake,Central thermocline depth,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.04,mg/L,Lab,
Base Flow,Keuka Lake,South thermocline depth,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Stewart Park,Sanctuary Stream,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.31,mg/L,Lab,
Base Flow,Stewart Park,Cayuga Lake Shore,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.6,mg/L,Lab,
Base Flow,Stewart Park,Fall Creek Mouth,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.77,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake near Mouth of Salmon Creek,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.82,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (H),"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.19,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (E),"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.76,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (E),"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.84,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Shallow Southern Shelf,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.76,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (H),"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.18,mg/L,Lab,
Base Flow,Cayuga Lake,Lake Source Cooling Outfall,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.69,mg/L,Lab,
Base Flow,Cayuga Lake,Ithaca Sewage Outfall,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.66,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Heights Sewage Outfall,"Aug 22, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.71,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek Mouth,"Aug 31, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.85,mg/L,Lab,
Base Flow,Cayuga Inlet,Cascadilla Creek Mouth,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Cayuga Inlet,Downstream of Cornell University Borehole Observatory (CUBO) Site,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Shallow,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Deep,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Shallow,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Cayuga Inlet,Cascadilla Creek Headwaters,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.16,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Shallow,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Hall Rd.,"Aug 31, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.7,mg/L,Lab,
Base Flow,Keuka Lake,Central Deep,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Keuka Lake,Central Shallow,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Deep,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Keuka Lake,Eggleston Pt,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.14,mg/L,Lab,
Base Flow,Keuka Lake,Willow Grove,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Shallow,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.02,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Deep,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.18,mg/L,Lab,
Base Flow,Keuka Lake,East thermocline depth,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.05,mg/L,Lab,
Base Flow,Keuka Lake,Central thermocline depth,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.06,mg/L,Lab,
Base Flow,Keuka Lake,West thermocline depth,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Cayuga Inlet,Upstream of Cornell University Borehole Observatory (CUBO) Site,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Creek #1,"Sep 01, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.37,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #4,"Sep 01, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.57,mg/L,Lab,
Base Flow,Cayuga Inlet,Brown Road,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Cayuga Inlet,Flood Control Channel at Wegman\s,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.31,mg/L,Lab,
Base Flow,Cayuga Inlet,Station Road by Newfield Group,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Cayuga Inlet,Buttermilk Creek Mouth,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Cayuga Inlet,Enfield Creek at Enfield Center,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Cayuga Inlet,Cascadilla Creek Mouth,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.34,mg/L,Lab,
Base Flow,Cayuga Inlet,Station Road by Buttermilk Group,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Cayuga Inlet,Farmers\ Market,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.16,mg/L,Lab,
Base Flow,Cayuga Inlet,Cherry and Taber St,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.28,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Lodi Covert Townline Rd.,"Aug 31, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.25,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at 96a,"Aug 31, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.53,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Shallow,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Deep,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.24,mg/L,Lab,
Base Flow,Keuka Lake,South Deep,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Keuka Lake,South Shallow,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Keuka Lake,H\port Beach,"Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Keuka Lake,"Stone Pt, Pulteney","Jul 21, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Keuka Lake,Central Deep,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.18,mg/L,Lab,
Base Flow,Keuka Lake,Central Shallow,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.02,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Shallow,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.02,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Deep,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.19,mg/L,Lab,
Base Flow,Keuka Lake,South Deep,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.18,mg/L,Lab,
Base Flow,Keuka Lake,South Shallow,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.02,mg/L,Lab,
Base Flow,Keuka Lake,"Stone Pt, Pulteney","Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.02,mg/L,Lab,
Base Flow,Keuka Lake,Willow Grove,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Keuka Lake,Eggleston Pt,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.02,mg/L,Lab,
Base Flow,Keuka Lake,H\port Beach,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Keuka Lake,South thermocline depth,"Aug 25, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.07,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #3,"Sep 01, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.97,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #3.5,"Sep 01, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.9,mg/L,Lab,
Base Flow,Cayuga Inlet,Blakeslee Hill,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.18,mg/L,Lab,
Base Flow,Cayuga Inlet,Upstream of Dam,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.2,mg/L,Lab,
Base Flow,Cayuga Inlet,Depot Road (Newfield),"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.25,mg/L,Lab,
Base Flow,Cayuga Inlet,Buttermilk Crk (upstream),"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Cayuga Inlet,Enfield Creek near Mouth,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.23,mg/L,Lab,
Base Flow,Cayuga Inlet,Coy Glen near Mouth,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.93,mg/L,Lab,
Base Flow,Cayuga Inlet,Downstream of Cornell University Borehole Observatory (CUBO) Site,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.32,mg/L,Lab,
Base Flow,Pony Hollow Creek,Pony Hollow Creek @ Driveway Crossing,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.59,mg/L,Lab,
Base Flow,Pony Hollow Creek,Pony Hollow Creek @ Cayuta Rd.,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Stewart Park,Sanctuary Stream,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.44,mg/L,Lab,
Base Flow,Stewart Park,Cayuga Lake Shore,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.65,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake near Mouth of Salmon Creek,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.76,mg/L,Lab,
Base Flow,Cayuga Lake,Lake Source Cooling Outfall,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Cayuga Inlet,Cascadilla Creek Headwaters,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.15,mg/L,Lab,
Base Flow,Cayuga Inlet,Upstream of Cornell University Borehole Observatory (CUBO) Site,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.31,mg/L,Lab,
Base Flow,Pony Hollow Creek,Chaffee Creek @ Route 13,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.19,mg/L,Lab,
Base Flow,Stewart Park,Fall Creek Mouth,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.51,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (H),"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.85,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (E),"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.74,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (H),"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.08,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Shallow Southern Shelf,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.8,mg/L,Lab,
Base Flow,Cayuga Lake,Ithaca Sewage Outfall,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.27,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Heights Sewage Outfall,"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Cayuga Inlet,Buttermilk Crk - Jennings Pnd,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.005,mg/L,Lab,non-detect
Base Flow,Cayuga Inlet,Enfield Creek at Upper Treman,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.39,mg/L,Lab,
Base Flow,Cayuga Inlet,Route 89,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Cayuga Inlet,Lickbrook at W. Jersey Hill ,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.04,mg/L,Lab,
Base Flow,Cayuga Inlet,Flood Control Channel Esty St,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.17,mg/L,Lab,
Base Flow,Cayuga Inlet,Cass Park,"Sep 09, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.14,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (E),"Sep 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Mouth,"Oct 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.08,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Townline West,"Oct 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,2.24,mg/L,Lab,
Base Flow,Salmon Creek,Tile Kiln Road,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,6.9,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek North Branch,"Oct 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.39,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek @ Cork & Townline,"Oct 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,8.44,mg/L,Lab,
Base Flow,Salmon Creek,Sherwood Road,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,4.68,mg/L,Lab,
Base Flow,Salmon Creek,Center Road,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,4.97,mg/L,Lab,
Base Flow,Salmon Creek,Locke Creek,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,4.33,mg/L,Lab,
Base Flow,Salmon Creek,Salmon Creek Mouth,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,4.82,mg/L,Lab,
Base Flow,Salmon Creek,Little Salmon Creek Above Fork,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,6.76,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek Mouth,"Oct 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.89,mg/L,Lab,
Base Flow,Salmon Creek,Genoa,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.46,mg/L,Lab,
Base Flow,Salmon Creek,Lockerby Hill Road,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.3,mg/L,Lab,
Base Flow,Salmon Creek,North Ludlowville,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.27,mg/L,Lab,
Base Flow,Salmon Creek,Bridge @ Blakley Rd.,"Oct 19, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,6.5,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek @ Chase Rd. & Rt. 34B,"Oct 12, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,6.69,mg/L,Lab,
Base Flow,Virgil Creek,Dryden Lake Inlet,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.59,mg/L,Lab,
Base Flow,Virgil Creek,Dryden Lake Outlet,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.05,mg/L,Lab,
Base Flow,Virgil Creek,Virgil Creek Road,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.53,mg/L,Lab,
Base Flow,Fall Creek,Lafayette Road,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.86,mg/L,Lab,
Base Flow,Fall Creek,Davis Road Bridge,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.29,mg/L,Lab,
Base Flow,Virgil Creek,Virgil Creek Freeville,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.51,mg/L,Lab,
Base Flow,Fall Creek,Fall Creek Freeville,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.22,mg/L,Lab,
Base Flow,Fall Creek,McLean Bridge,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.53,mg/L,Lab,
Base Flow,Fall Creek,Freese Road Bridge,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.76,mg/L,Lab,
Base Flow,Fall Creek,McLean Rd.,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.38,mg/L,Lab,
Base Flow,Fall Creek,Fall Creek Forest Home,"Sep 13, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.63,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Middle Triad Trail,"Sep 15, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.16,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Day Road at Marlena Point,"Sep 15, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.47,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Brandy Bay Mouth,"Sep 15, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Mt. Washington Mouth,"Sep 15, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.18,mg/L,Lab,
